Graph nr,Original nodes,Reduced nodes,Node compr. rate,Original edges,Reduced edges,Edge compr. rate
453,71,71,0.0,568,568,0.0
454,73,73,0.0,584,584,0.0
455,69,69,0.0,552,552,0.0
456,72,72,0.0,576,576,0.0
457,69,69,0.0,552,552,0.0
458,68,68,0.0,544,544,0.0
459,71,71,0.0,568,568,0.0
460,72,72,0.0,576,576,0.0
461,67,67,0.0,536,536,0.0
462,72,72,0.0,576,576,0.0
463,72,72,0.0,576,576,0.0
464,72,72,0.0,576,576,0.0
465,69,69,0.0,552,552,0.0
466,72,72,0.0,576,576,0.0
467,72,72,0.0,576,576,0.0
468,75,75,0.0,600,600,0.0
469,65,65,0.0,520,520,0.0
470,72,72,0.0,576,576,0.0
471,69,69,0.0,552,552,0.0
472,70,69,1.43,560,560,3.75
473,67,67,0.0,536,536,0.0
474,70,70,0.0,560,560,0.0
475,69,69,0.0,552,552,0.0
476,75,75,0.0,600,600,0.0
477,75,75,0.0,600,600,0.0
478,75,75,0.0,600,600,0.0
479,73,73,0.0,584,584,0.0
480,73,73,0.0,584,584,0.0
481,69,69,0.0,552,552,0.0
482,73,73,0.0,584,584,0.0
483,74,74,0.0,592,592,0.0
484,75,75,0.0,600,600,0.0
485,73,73,0.0,584,584,0.0
486,75,75,0.0,600,600,0.0
487,70,70,0.0,560,560,0.0
488,69,69,0.0,552,552,0.0
489,71,71,0.0,568,568,0.0
490,73,73,0.0,584,584,0.0
491,70,70,0.0,560,560,0.0
492,75,75,0.0,600,600,0.0
493,69,69,0.0,552,552,0.0
494,46,46,0.0,368,368,0.0
495,74,74,0.0,592,592,0.0
496,74,74,0.0,592,592,0.0
497,71,71,0.0,568,568,0.0
498,73,73,0.0,584,584,0.0
499,72,72,0.0,576,576,0.0
500,75,75,0.0,600,600,0.0
501,71,71,0.0,568,568,0.0
502,71,71,0.0,568,568,0.0
503,71,71,0.0,568,568,0.0
504,71,71,0.0,568,568,0.0
505,72,72,0.0,576,576,0.0
506,73,73,0.0,584,584,0.0
507,73,73,0.0,584,584,0.0
508,75,75,0.0,600,600,0.0
509,72,72,0.0,576,576,0.0
510,73,73,0.0,584,584,0.0
511,74,74,0.0,592,592,0.0
512,67,67,0.0,536,536,0.0
513,74,74,0.0,592,592,0.0
514,70,70,0.0,560,560,0.0
515,75,75,0.0,600,600,0.0
516,73,73,0.0,584,584,0.0
517,72,72,0.0,576,576,0.0
518,75,75,0.0,600,600,0.0
519,73,73,0.0,584,584,0.0
520,74,74,0.0,592,592,0.0
521,69,69,0.0,552,552,0.0
522,73,73,0.0,584,584,0.0
523,72,72,0.0,576,576,0.0
524,71,71,0.0,568,568,0.0
525,71,71,0.0,568,568,0.0
526,73,73,0.0,584,584,0.0
527,73,73,0.0,584,584,0.0
528,70,70,0.0,560,560,0.0
529,70,70,0.0,560,560,0.0
530,48,48,0.0,384,384,0.0
531,69,69,0.0,552,552,0.0
532,72,72,0.0,576,576,0.0
533,71,71,0.0,568,568,0.0
534,71,71,0.0,568,568,0.0
535,73,73,0.0,584,584,0.0
536,72,72,0.0,576,576,0.0
537,73,73,0.0,584,584,0.0
538,75,75,0.0,600,600,0.0
539,75,75,0.0,600,600,0.0
540,75,74,1.33,600,600,3.67
541,72,72,0.0,576,576,0.0
542,74,74,0.0,592,592,0.0
543,75,75,0.0,600,600,0.0
544,75,75,0.0,600,600,0.0
545,74,74,0.0,592,592,0.0
546,75,75,0.0,600,600,0.0
547,73,73,0.0,584,584,0.0
548,72,72,0.0,576,576,0.0
549,71,71,0.0,568,568,0.0
550,74,74,0.0,592,592,0.0
551,74,74,0.0,592,592,0.0
552,47,47,0.0,376,376,0.0
553,66,66,0.0,528,528,0.0
554,71,71,0.0,568,568,0.0
555,70,69,1.43,560,560,4.11
556,73,73,0.0,584,584,0.0
557,75,75,0.0,600,600,0.0
558,74,74,0.0,592,592,0.0
559,71,71,0.0,568,568,0.0
560,72,72,0.0,576,576,0.0
561,71,71,0.0,568,568,0.0
562,71,71,0.0,568,568,0.0
563,67,67,0.0,536,536,0.0
564,75,75,0.0,600,600,0.0
565,66,66,0.0,528,528,0.0
566,68,68,0.0,544,544,0.0
567,68,68,0.0,544,544,0.0
568,75,75,0.0,600,600,0.0
569,74,74,0.0,592,592,0.0
570,48,47,2.08,384,384,5.21
571,74,74,0.0,592,592,0.0
572,70,70,0.0,560,560,0.0
573,69,69,0.0,552,552,0.0
574,71,71,0.0,568,568,0.0
575,72,72,0.0,576,576,0.0
576,72,72,0.0,576,576,0.0
577,70,70,0.0,560,560,0.0
578,74,74,0.0,592,592,0.0
579,69,69,0.0,552,552,0.0
580,74,74,0.0,592,592,0.0
581,73,73,0.0,584,584,0.0
582,47,47,0.0,376,376,0.0
583,68,68,0.0,544,544,0.0
584,67,67,0.0,536,536,0.0
585,71,71,0.0,568,568,0.0
586,71,71,0.0,568,568,0.0
587,73,73,0.0,584,584,0.0
588,71,71,0.0,568,568,0.0
589,72,72,0.0,576,576,0.0
590,75,75,0.0,600,600,0.0
591,72,72,0.0,576,576,0.0
592,73,73,0.0,584,584,0.0
593,71,71,0.0,568,568,0.0
594,71,71,0.0,568,568,0.0
595,74,74,0.0,592,592,0.0
596,71,71,0.0,568,568,0.0
597,72,72,0.0,576,576,0.0
598,73,73,0.0,584,584,0.0
599,73,73,0.0,584,584,0.0
600,75,75,0.0,600,600,0.0
601,75,75,0.0,600,600,0.0
602,75,75,0.0,600,600,0.0
603,70,69,1.43,560,560,3.75
604,73,73,0.0,584,584,0.0
605,71,71,0.0,568,568,0.0
606,73,73,0.0,584,584,0.0
607,72,72,0.0,576,576,0.0
608,69,69,0.0,552,552,0.0
609,71,71,0.0,568,568,0.0
610,75,75,0.0,600,600,0.0
611,72,72,0.0,576,576,0.0
612,74,74,0.0,592,592,0.0
613,74,74,0.0,592,592,0.0
614,73,73,0.0,584,584,0.0
615,66,66,0.0,528,528,0.0
616,74,74,0.0,592,592,0.0
617,75,75,0.0,600,600,0.0
618,69,69,0.0,552,552,0.0
619,69,69,0.0,552,552,0.0
620,75,75,0.0,600,600,0.0
621,70,70,0.0,560,560,0.0
622,69,69,0.0,552,552,0.0
623,73,73,0.0,584,584,0.0
624,75,75,0.0,600,600,0.0
625,71,71,0.0,568,568,0.0
626,74,74,0.0,592,592,0.0
627,70,69,1.43,560,560,3.93
628,73,73,0.0,584,584,0.0
629,71,71,0.0,568,568,0.0
630,74,74,0.0,592,592,0.0
631,75,75,0.0,600,600,0.0
632,71,70,1.41,568,568,3.52
633,71,71,0.0,568,568,0.0
634,72,72,0.0,576,576,0.0
635,74,74,0.0,592,592,0.0
636,72,71,1.39,576,576,3.65
637,70,69,1.43,560,560,3.75
638,73,73,0.0,584,584,0.0
639,72,72,0.0,576,576,0.0
640,73,73,0.0,584,584,0.0
641,67,67,0.0,536,536,0.0
642,73,73,0.0,584,584,0.0
643,75,75,0.0,600,600,0.0
644,75,75,0.0,600,600,0.0
645,74,74,0.0,592,592,0.0
646,71,71,0.0,568,568,0.0
647,71,71,0.0,568,568,0.0
648,74,74,0.0,592,592,0.0
649,68,68,0.0,544,544,0.0
650,74,74,0.0,592,592,0.0
651,72,72,0.0,576,576,0.0
652,74,74,0.0,592,592,0.0
653,72,72,0.0,576,576,0.0
654,74,74,0.0,592,592,0.0
655,46,46,0.0,368,368,0.0
656,74,73,1.35,592,592,3.38
657,71,71,0.0,568,568,0.0
658,73,73,0.0,584,584,0.0
659,73,73,0.0,584,584,0.0
660,71,71,0.0,568,568,0.0
661,68,68,0.0,544,544,0.0
662,72,72,0.0,576,576,0.0
663,72,72,0.0,576,576,0.0
664,75,75,0.0,600,600,0.0
665,68,68,0.0,544,544,0.0
666,75,75,0.0,600,600,0.0
667,75,75,0.0,600,600,0.0
668,68,68,0.0,544,544,0.0
669,71,71,0.0,568,568,0.0
670,74,74,0.0,592,592,0.0
671,70,70,0.0,560,560,0.0
672,74,74,0.0,592,592,0.0
673,71,71,0.0,568,568,0.0
674,68,68,0.0,544,544,0.0
675,75,75,0.0,600,600,0.0
676,74,74,0.0,592,592,0.0
677,70,70,0.0,560,560,0.0
678,69,69,0.0,552,552,0.0
679,69,69,0.0,552,552,0.0
680,72,72,0.0,576,576,0.0
681,75,75,0.0,600,600,0.0
682,74,74,0.0,592,592,0.0
683,72,72,0.0,576,576,0.0
684,74,74,0.0,592,592,0.0
685,74,74,0.0,592,592,0.0
686,75,75,0.0,600,600,0.0
687,72,72,0.0,576,576,0.0
688,75,75,0.0,600,600,0.0
689,73,73,0.0,584,584,0.0
690,73,73,0.0,584,584,0.0
691,75,75,0.0,600,600,0.0
692,70,70,0.0,560,560,0.0
693,70,70,0.0,560,560,0.0
694,70,70,0.0,560,560,0.0
695,72,72,0.0,576,576,0.0
696,74,74,0.0,592,592,0.0
697,73,73,0.0,584,584,0.0
698,67,67,0.0,536,536,0.0
699,71,70,1.41,568,568,4.05
700,71,71,0.0,568,568,0.0
701,73,72,1.37,584,584,3.42
702,74,74,0.0,592,592,0.0
703,72,72,0.0,576,576,0.0
704,74,74,0.0,592,592,0.0
705,74,74,0.0,592,592,0.0
706,75,75,0.0,600,600,0.0
707,69,69,0.0,552,552,0.0
708,72,72,0.0,576,576,0.0
709,74,74,0.0,592,592,0.0
710,71,71,0.0,568,568,0.0
711,71,71,0.0,568,568,0.0
712,73,73,0.0,584,584,0.0
713,75,75,0.0,600,600,0.0
714,47,47,0.0,376,376,0.0
715,64,64,0.0,512,512,0.0
716,74,74,0.0,592,592,0.0
717,71,71,0.0,568,568,0.0
718,74,74,0.0,592,592,0.0
719,75,75,0.0,600,600,0.0
720,73,73,0.0,584,584,0.0
721,74,74,0.0,592,592,0.0
722,74,74,0.0,592,592,0.0
723,71,71,0.0,568,568,0.0
724,74,74,0.0,592,592,0.0
725,73,73,0.0,584,584,0.0
726,72,72,0.0,576,576,0.0
727,72,72,0.0,576,576,0.0
728,71,71,0.0,568,568,0.0
729,72,72,0.0,576,576,0.0
730,70,70,0.0,560,560,0.0
731,75,75,0.0,600,600,0.0
732,75,75,0.0,600,600,0.0
733,69,69,0.0,552,552,0.0
734,74,74,0.0,592,592,0.0
735,75,75,0.0,600,600,0.0
736,73,73,0.0,584,584,0.0
737,73,73,0.0,584,584,0.0
738,74,74,0.0,592,592,0.0
739,73,73,0.0,584,584,0.0
