Graph nr,Original nodes,Reduced nodes,Node compr. rate,Original edges,Reduced edges,Edge compr. rate
362,120,120,0.0,960,960,0.0
363,113,112,0.88,904,884,2.21
364,127,127,0.0,1016,1016,0.0
365,118,118,0.0,944,944,0.0
366,117,117,0.0,936,936,0.0
367,114,114,0.0,912,912,0.0
368,115,115,0.0,920,920,0.0
369,121,121,0.0,968,968,0.0
370,108,108,0.0,864,864,0.0
371,120,120,0.0,960,960,0.0
372,110,110,0.0,880,880,0.0
373,119,119,0.0,952,952,0.0
374,127,127,0.0,1016,1016,0.0
375,115,115,0.0,920,920,0.0
376,120,120,0.0,960,960,0.0
377,125,125,0.0,1000,1000,0.0
378,120,120,0.0,960,960,0.0
379,113,113,0.0,904,904,0.0
380,114,114,0.0,912,912,0.0
381,118,118,0.0,944,944,0.0
382,124,124,0.0,992,992,0.0
383,114,114,0.0,912,912,0.0
384,119,119,0.0,952,952,0.0
385,120,119,0.83,960,938,2.29
386,122,122,0.0,976,976,0.0
387,114,114,0.0,912,912,0.0
388,119,119,0.0,952,952,0.0
389,115,115,0.0,920,920,0.0
390,120,120,0.0,960,960,0.0
391,120,120,0.0,960,960,0.0
392,111,111,0.0,888,888,0.0
393,119,119,0.0,952,952,0.0
394,120,120,0.0,960,960,0.0
395,119,119,0.0,952,952,0.0
396,114,114,0.0,912,912,0.0
397,115,115,0.0,920,920,0.0
398,119,119,0.0,952,952,0.0
399,118,118,0.0,944,944,0.0
400,111,111,0.0,888,888,0.0
401,115,115,0.0,920,920,0.0
402,114,114,0.0,912,912,0.0
403,120,120,0.0,960,960,0.0
404,118,118,0.0,944,944,0.0
405,119,118,0.84,952,932,2.1
406,119,119,0.0,952,952,0.0
407,119,118,0.84,952,930,2.31
408,124,124,0.0,992,992,0.0
409,116,116,0.0,928,928,0.0
410,118,118,0.0,944,944,0.0
411,113,113,0.0,904,904,0.0
412,111,111,0.0,888,888,0.0
413,118,118,0.0,944,944,0.0
414,111,111,0.0,888,888,0.0
415,119,119,0.0,952,952,0.0
416,115,115,0.0,920,920,0.0
417,119,119,0.0,952,952,0.0
418,112,112,0.0,896,896,0.0
419,118,118,0.0,944,944,0.0
420,122,122,0.0,976,976,0.0
421,117,116,0.85,936,916,2.14
422,110,110,0.0,880,880,0.0
423,119,118,0.84,952,931,2.21
424,117,117,0.0,936,936,0.0
425,116,116,0.0,928,928,0.0
426,114,114,0.0,912,912,0.0
427,117,117,0.0,936,936,0.0
428,116,116,0.0,928,928,0.0
429,120,120,0.0,960,960,0.0
430,118,118,0.0,944,944,0.0
431,111,111,0.0,888,888,0.0
432,109,109,0.0,872,872,0.0
433,116,116,0.0,928,928,0.0
434,109,109,0.0,872,872,0.0
435,119,119,0.0,952,952,0.0
436,110,110,0.0,880,880,0.0
437,123,123,0.0,984,984,0.0
438,121,121,0.0,968,968,0.0
439,116,116,0.0,928,928,0.0
440,122,122,0.0,976,976,0.0
441,112,112,0.0,896,896,0.0
442,124,124,0.0,992,992,0.0
443,119,117,1.68,952,911,4.31
444,117,117,0.0,936,936,0.0
445,121,121,0.0,968,968,0.0
446,122,122,0.0,976,976,0.0
447,114,113,0.88,912,893,2.08
448,120,120,0.0,960,960,0.0
449,119,117,1.68,952,909,4.52
450,116,116,0.0,928,928,0.0
451,112,112,0.0,896,896,0.0
452,120,120,0.0,960,960,0.0
453,122,122,0.0,976,976,0.0
454,121,121,0.0,968,968,0.0
455,120,120,0.0,960,960,0.0
456,124,124,0.0,992,992,0.0
457,114,114,0.0,912,912,0.0
458,119,119,0.0,952,952,0.0
459,113,113,0.0,904,904,0.0
460,115,114,0.87,920,899,2.28
461,116,116,0.0,928,928,0.0
462,122,122,0.0,976,976,0.0
463,117,117,0.0,936,936,0.0
464,123,123,0.0,984,984,0.0
465,117,117,0.0,936,936,0.0
466,116,116,0.0,928,928,0.0
467,117,117,0.0,936,936,0.0
468,120,120,0.0,960,960,0.0
469,120,120,0.0,960,960,0.0
470,118,118,0.0,944,944,0.0
471,120,120,0.0,960,960,0.0
472,120,120,0.0,960,960,0.0
473,116,116,0.0,928,928,0.0
474,119,119,0.0,952,952,0.0
475,120,120,0.0,960,960,0.0
476,130,130,0.0,1040,1040,0.0
477,117,117,0.0,936,936,0.0
478,118,118,0.0,944,944,0.0
479,124,124,0.0,992,992,0.0
480,118,118,0.0,944,944,0.0
481,118,118,0.0,944,944,0.0
482,118,118,0.0,944,944,0.0
483,118,117,0.85,944,921,2.44
484,116,116,0.0,928,928,0.0
485,115,115,0.0,920,920,0.0
486,119,119,0.0,952,952,0.0
487,119,119,0.0,952,952,0.0
488,118,118,0.0,944,944,0.0
489,119,117,1.68,952,911,4.31
490,118,118,0.0,944,944,0.0
491,118,118,0.0,944,944,0.0
492,115,115,0.0,920,920,0.0
493,116,116,0.0,928,928,0.0
494,108,108,0.0,864,864,0.0
495,115,115,0.0,920,920,0.0
496,120,120,0.0,960,960,0.0
497,110,110,0.0,880,880,0.0
498,113,113,0.0,904,904,0.0
499,115,114,0.87,920,898,2.39
500,119,119,0.0,952,952,0.0
501,118,118,0.0,944,944,0.0
502,119,118,0.84,952,931,2.21
503,115,115,0.0,920,920,0.0
504,120,118,1.67,960,918,4.38
505,118,118,0.0,944,944,0.0
506,115,115,0.0,920,920,0.0
507,120,120,0.0,960,960,0.0
508,118,118,0.0,944,944,0.0
509,121,121,0.0,968,968,0.0
510,115,115,0.0,920,920,0.0
511,106,106,0.0,848,848,0.0
512,121,121,0.0,968,968,0.0
513,118,118,0.0,944,944,0.0
514,124,124,0.0,992,992,0.0
515,136,136,0.0,1088,1088,0.0
516,117,117,0.0,936,936,0.0
517,114,114,0.0,912,912,0.0
518,118,118,0.0,944,944,0.0
519,118,118,0.0,944,944,0.0
520,116,116,0.0,928,928,0.0
521,118,118,0.0,944,944,0.0
522,122,122,0.0,976,976,0.0
